Reg_yr,Manufacturing_yr,Km_driven,Engine capacity,Prev_owners,Cylinders,Max Power,Seater,Ground_clearance,Bootspace,Fueltank,Airbags,Fueltype,RTO,Transmission,Insurance_expiry,Insurance_type,Drivetrain,Bodytype,Model,Brand,City,Price
Apr 2023,2023,"45,000 Kms",998 cc,First Owner,3,98.69bhp@5500rpm,5,,308 Litres,37 Litres,4,Petrol,Ranga reddy,Automatic,,,FWD,suv,maruti fronx,maruti,hyderabad,₹11.80 Lakh
Jan 2024,2023,"20,537 Kms",998 cc,First Owner,3,98.69bhp@5500rpm,5,,308 Litres,37 Litres,4,Petrol,Pune,Automatic,,,FWD,suv,maruti fronx,maruti,pune,₹11.15 Lakh
May 2024,2024,"7,000 Kms",998 cc,First Owner,3,98.69bhp@5500rpm,5,,308 Litres,37 Litres,4,Petrol,Paschim Medinipur,Manual,,,FWD,suv,maruti fronx,maruti,kolkata,₹9.95 Lakh
May 2024,2024,"9,555 Kms",1197 cc,First Owner,4,88.50bhp@6000rpm,5,,308 Litres,37 Litres,2,Petrol,Mumbai,Manual,,,FWD,suv,maruti fronx,maruti,mumbai,₹8.70 Lakh
Feb 2024,2023,"26,876 Kms",998 cc,First Owner,3,98.69bhp@5500rpm,5,,308 Litres,37 Litres,4,Petrol,Siddipet,Automatic,,,FWD,suv,maruti fronx,maruti,hyderabad,₹10.81 Lakh
Jun 2012,2012,"47,002 Kms",1197 cc,Second Owner,4,85.80bhp@6000rpm,5,170 mm,,43 Litres,0,Petrol,Alipore,Manual,,,FWD,hatchback,maruti ritz,maruti,kolkata,₹1.75 Lakh
2012,2012,"83,000 Kms",1197 cc,First Owner,4,85.80bhp@6000rpm,5,170 mm,,43 Litres,0,Petrol,Hyderabad,Manual,,,FWD,hatchback,maruti ritz,ritz,hyderabad,₹2.50 Lakh
Jun 2014,2014,"53,484 Kms",1197 cc,Second Owner,4,85.80bhp@6000rpm,5,170 mm,,43 Litres,0,Petrol,Chennai,Manual,,,FWD,hatchback,maruti ritz,ritz,chennai,₹2.92 Lakh
Nov 2019,2019,"97,000 Kms",1248 cc,First Owner,4,88.5bhp@4000rpm,5,180 mm,,48 Litres,2,Diesel,Pimpri chinchwad,Manual,,,FWD,suv,maruti s cross,maruti,pune,₹8.40 Lakh
Jan 2020,2019,"75,000 Kms",1248 cc,First Owner,4,88.5bhp@4000rpm,5,180 mm,,48 Litres,2,Diesel,Jodhpur,Manual,,,FWD,suv,maruti s cross,maruti,jaipur,₹7.75 Lakh
Jun 2022,2022,"3,714 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,240  Litres,27 Litres,2,Petrol,Jaipur,Manual,,,FWD,hatchback,maruti s-presso,s-presso,jaipur,₹4.78 Lakh
Mar 2019,2019,"60,342 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,163 mm,,37 Litres,3,Petrol,Ranga reddy,Automatic,,,FWD,hatchback,maruti swift,maruti,hyderabad,₹5.95 Lakh
Aug 2020,2020,"46,000 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,163 mm,,37 Litres,3,Petrol,Hooghly,Automatic,,,FWD,hatchback,maruti swift,maruti,kolkata,₹5.45 Lakh
